"state1","statename1","mi_to_state","state2","statename2"
"13","Georgia",853.937370171364,"19","Iowa"
"13","Georgia",895.142488143403,"55","Wisconsin"
"13","Georgia",900.428689880181,"44","Rhode Island"
"13","Georgia",926.898930925442,"25","Massachusetts"
"13","Georgia",931.690501501458,"48","Texas"
"13","Georgia",931.948237923782,"20","Kansas"
"13","Georgia",979.549379964742,"50","Vermont"
"13","Georgia",995.885645359239,"33","New Hampshire"
"13","Georgia",1090.34706135388,"31","Nebraska"
"13","Georgia",1104.28274245083,"27","Minnesota"
"13","Georgia",1181.83847196796,"23","Maine"
"13","Georgia",1217.24227971998,"46","South Dakota"
"13","Georgia",1309.19065056346,"08","Colorado"
"13","Georgia",1310.74713846429,"35","New Mexico"
"13","Georgia",1358.36766712357,"38","North Dakota"
"13","Georgia",1451.55041867417,"72","Puerto Rico"
"13","Georgia",1490.9534691713,"56","Wyoming"
"13","Georgia",1623.58437746327,"04","Arizona"
"13","Georgia",1637.49745809788,"49","Utah"
